692 0.000000
325 0.666667
295 0.750000
3050 0.500000
1060 0.333333
612 0.600000
359 0.250000
850 0.333333
737 0.500000
216 1.000000
416 0.333333
1078 0.600000
141 1.000000
98 0.000000
345 0.000000
151 0.333333
324 1.000000
2145 0.000000
108 0.000000
340 0.500000
527 0.333333
1718 0.333333
510 0.500000
545 0.400000
410 0.000000
262 0.250000
566 0.333333
308 1.000000
184 0.600000
157 0.500000
365 0.500000
220 0.500000
3011 0.800000
237 0.000000
848 0.250000
1297 1.000000
801 0.333333
1110 0.500000
818 0.666667
527 0.500000
585 1.000000
472 0.000000
677 0.500000
2953 1.000000
1007 0.000000
334 0.500000
134 1.000000
168 0.500000
1809 0.500000
402 0.750000
265 1.000000
2695 0.000000
109 0.333333
412 0.333333
428 0.333333
3107 1.000000
162 1.000000
87 0.000000
901 0.500000
800 0.200000
1060 0.666667
143 0.000000
1240 0.333333
292 0.000000
257 0.333333
216 0.500000
331 1.000000
575 0.500000
290 1.000000
713 0.333333
1176 0.333333
1193 0.666667
763 0.000000
568 0.250000
781 1.000000
374 0.666667
1639 0.400000
268 0.400000
590 0.500000
268 0.666667
278 0.500000
224 0.000000
781 0.400000
4769 1.000000
540 0.400000
233 0.500000
440 1.000000
755 0.200000
464 0.000000
518 1.000000
1635 0.500000
513 1.000000
594 0.666667
574 0.500000
2018 0.200000
1366 1.000000
270 0.250000
189 0.000000
1686 0.500000
1233 0.500000
314 0.000000
